Age,YOS,TermBefore5Under30,TermBefore5B3039,TermBefore5Over39
20,0,0.28,NA,NA
20,1,0.24,NA,NA
20,2,0.18,NA,NA
20,3,0.16,NA,NA
20,4,0.13,NA,NA
21,0,0.28,NA,NA
21,1,0.24,NA,NA
21,2,0.18,NA,NA
21,3,0.16,NA,NA
21,4,0.13,NA,NA
22,0,0.28,NA,NA
22,1,0.24,NA,NA
22,2,0.18,NA,NA
22,3,0.16,NA,NA
22,4,0.13,NA,NA
23,0,0.28,NA,NA
23,1,0.24,NA,NA
23,2,0.18,NA,NA
23,3,0.16,NA,NA
23,4,0.13,NA,NA
24,0,0.28,NA,NA
24,1,0.24,NA,NA
24,2,0.18,NA,NA
24,3,0.16,NA,NA
24,4,0.13,NA,NA
25,0,0.28,NA,NA
25,1,0.24,NA,NA
25,2,0.18,NA,NA
25,3,0.16,NA,NA
25,4,0.13,NA,NA
26,0,0.28,NA,NA
26,1,0.24,NA,NA
26,2,0.18,NA,NA
26,3,0.16,NA,NA
26,4,0.13,NA,NA
27,0,0.28,NA,NA
27,1,0.24,NA,NA
27,2,0.18,NA,NA
27,3,0.16,NA,NA
27,4,0.13,NA,NA
28,0,0.28,NA,NA
28,1,0.24,NA,NA
28,2,0.18,NA,NA
28,3,0.16,NA,NA
28,4,0.13,NA,NA
29,0,0.28,NA,NA
29,1,0.24,NA,NA
29,2,0.18,NA,NA
29,3,0.16,NA,NA
29,4,0.13,NA,NA
30,0,NA,0.2,NA
30,1,NA,0.17,NA
30,2,NA,0.14,NA
30,3,NA,0.13,NA
30,4,NA,0.11,NA
31,0,NA,0.2,NA
31,1,NA,0.17,NA
31,2,NA,0.14,NA
31,3,NA,0.13,NA
31,4,NA,0.11,NA
32,0,NA,0.2,NA
32,1,NA,0.17,NA
32,2,NA,0.14,NA
32,3,NA,0.13,NA
32,4,NA,0.11,NA
33,0,NA,0.2,NA
33,1,NA,0.17,NA
33,2,NA,0.14,NA
33,3,NA,0.13,NA
33,4,NA,0.11,NA
34,0,NA,0.2,NA
34,1,NA,0.17,NA
34,2,NA,0.14,NA
34,3,NA,0.13,NA
34,4,NA,0.11,NA
35,0,NA,0.2,NA
35,1,NA,0.17,NA
35,2,NA,0.14,NA
35,3,NA,0.13,NA
35,4,NA,0.11,NA
36,0,NA,0.2,NA
36,1,NA,0.17,NA
36,2,NA,0.14,NA
36,3,NA,0.13,NA
36,4,NA,0.11,NA
37,0,NA,0.2,NA
37,1,NA,0.17,NA
37,2,NA,0.14,NA
37,3,NA,0.13,NA
37,4,NA,0.11,NA
38,0,NA,0.2,NA
38,1,NA,0.17,NA
38,2,NA,0.14,NA
38,3,NA,0.13,NA
38,4,NA,0.11,NA
39,0,NA,0.2,NA
39,1,NA,0.17,NA
39,2,NA,0.14,NA
39,3,NA,0.13,NA
39,4,NA,0.11,NA
40,0,NA,NA,0.17
40,1,NA,NA,0.14
40,2,NA,NA,0.12
40,3,NA,NA,0.12
40,4,NA,NA,0.11
41,0,NA,NA,0.17
41,1,NA,NA,0.14
41,2,NA,NA,0.12
41,3,NA,NA,0.12
41,4,NA,NA,0.11
42,0,NA,NA,0.17
42,1,NA,NA,0.14
42,2,NA,NA,0.12
42,3,NA,NA,0.12
42,4,NA,NA,0.11
43,0,NA,NA,0.17
43,1,NA,NA,0.14
43,2,NA,NA,0.12
43,3,NA,NA,0.12
43,4,NA,NA,0.11
44,0,NA,NA,0.17
44,1,NA,NA,0.14
44,2,NA,NA,0.12
44,3,NA,NA,0.12
44,4,NA,NA,0.11
45,0,NA,NA,0.17
45,1,NA,NA,0.14
45,2,NA,NA,0.12
45,3,NA,NA,0.12
45,4,NA,NA,0.11
46,0,NA,NA,0.17
46,1,NA,NA,0.14
46,2,NA,NA,0.12
46,3,NA,NA,0.12
46,4,NA,NA,0.11
47,0,NA,NA,0.17
47,1,NA,NA,0.14
47,2,NA,NA,0.12
47,3,NA,NA,0.12
47,4,NA,NA,0.11
48,0,NA,NA,0.17
48,1,NA,NA,0.14
48,2,NA,NA,0.12
48,3,NA,NA,0.12
48,4,NA,NA,0.11
49,0,NA,NA,0.17
49,1,NA,NA,0.14
49,2,NA,NA,0.12
49,3,NA,NA,0.12
49,4,NA,NA,0.11
50,0,NA,NA,0.17
50,1,NA,NA,0.14
50,2,NA,NA,0.12
50,3,NA,NA,0.12
50,4,NA,NA,0.11
51,0,NA,NA,0.17
51,1,NA,NA,0.14
51,2,NA,NA,0.12
51,3,NA,NA,0.12
51,4,NA,NA,0.11
52,0,NA,NA,0.17
52,1,NA,NA,0.14
52,2,NA,NA,0.12
52,3,NA,NA,0.12
52,4,NA,NA,0.11
53,0,NA,NA,0.17
53,1,NA,NA,0.14
53,2,NA,NA,0.12
53,3,NA,NA,0.12
53,4,NA,NA,0.11
54,0,NA,NA,0.17
54,1,NA,NA,0.14
54,2,NA,NA,0.12
54,3,NA,NA,0.12
54,4,NA,NA,0.11
55,0,NA,NA,0.17
55,1,NA,NA,0.14
55,2,NA,NA,0.12
55,3,NA,NA,0.12
55,4,NA,NA,0.11
56,0,NA,NA,0.17
56,1,NA,NA,0.14
56,2,NA,NA,0.12
56,3,NA,NA,0.12
56,4,NA,NA,0.11
57,0,NA,NA,0.17
57,1,NA,NA,0.14
57,2,NA,NA,0.12
57,3,NA,NA,0.12
57,4,NA,NA,0.11
58,0,NA,NA,0.17
58,1,NA,NA,0.14
58,2,NA,NA,0.12
58,3,NA,NA,0.12
58,4,NA,NA,0.11
59,0,NA,NA,0.17
59,1,NA,NA,0.14
59,2,NA,NA,0.12
59,3,NA,NA,0.12
59,4,NA,NA,0.11
60,0,NA,NA,0.17
60,1,NA,NA,0.14
60,2,NA,NA,0.12
60,3,NA,NA,0.12
60,4,NA,NA,0.11
61,0,NA,NA,0.17
61,1,NA,NA,0.14
61,2,NA,NA,0.12
61,3,NA,NA,0.12
61,4,NA,NA,0.11
62,0,NA,NA,0.17
62,1,NA,NA,0.14
62,2,NA,NA,0.12
62,3,NA,NA,0.12
62,4,NA,NA,0.11
63,0,NA,NA,0.17
63,1,NA,NA,0.14
63,2,NA,NA,0.12
63,3,NA,NA,0.12
63,4,NA,NA,0.11
64,0,NA,NA,0.17
64,1,NA,NA,0.14
64,2,NA,NA,0.12
64,3,NA,NA,0.12
64,4,NA,NA,0.11
65,0,NA,NA,0.17
65,1,NA,NA,0.14
65,2,NA,NA,0.12
65,3,NA,NA,0.12
65,4,NA,NA,0.11
66,0,NA,NA,0.17
66,1,NA,NA,0.14
66,2,NA,NA,0.12
66,3,NA,NA,0.12
66,4,NA,NA,0.11
67,0,NA,NA,0.17
67,1,NA,NA,0.14
67,2,NA,NA,0.12
67,3,NA,NA,0.12
67,4,NA,NA,0.11
68,0,NA,NA,0.17
68,1,NA,NA,0.14
68,2,NA,NA,0.12
68,3,NA,NA,0.12
68,4,NA,NA,0.11
69,0,NA,NA,0.17
69,1,NA,NA,0.14
69,2,NA,NA,0.12
69,3,NA,NA,0.12
69,4,NA,NA,0.11
70,0,NA,NA,0.17
70,1,NA,NA,0.14
70,2,NA,NA,0.12
70,3,NA,NA,0.12
70,4,NA,NA,0.11
71,0,NA,NA,0.17
71,1,NA,NA,0.14
71,2,NA,NA,0.12
71,3,NA,NA,0.12
71,4,NA,NA,0.11
72,0,NA,NA,0.17
72,1,NA,NA,0.14
72,2,NA,NA,0.12
72,3,NA,NA,0.12
72,4,NA,NA,0.11
73,0,NA,NA,0.17
73,1,NA,NA,0.14
73,2,NA,NA,0.12
73,3,NA,NA,0.12
73,4,NA,NA,0.11
74,0,NA,NA,0.17
74,1,NA,NA,0.14
74,2,NA,NA,0.12
74,3,NA,NA,0.12
74,4,NA,NA,0.11
75,0,NA,NA,0.17
75,1,NA,NA,0.14
75,2,NA,NA,0.12
75,3,NA,NA,0.12
75,4,NA,NA,0.11
76,0,NA,NA,0.17
76,1,NA,NA,0.14
76,2,NA,NA,0.12
76,3,NA,NA,0.12
76,4,NA,NA,0.11
77,0,NA,NA,0.17
77,1,NA,NA,0.14
77,2,NA,NA,0.12
77,3,NA,NA,0.12
77,4,NA,NA,0.11
78,0,NA,NA,0.17
78,1,NA,NA,0.14
78,2,NA,NA,0.12
78,3,NA,NA,0.12
78,4,NA,NA,0.11
79,0,NA,NA,0.17
79,1,NA,NA,0.14
79,2,NA,NA,0.12
79,3,NA,NA,0.12
79,4,NA,NA,0.11
80,0,NA,NA,0.17
80,1,NA,NA,0.14
80,2,NA,NA,0.12
80,3,NA,NA,0.12
80,4,NA,NA,0.11
81,0,NA,NA,0.17
81,1,NA,NA,0.14
81,2,NA,NA,0.12
81,3,NA,NA,0.12
81,4,NA,NA,0.11
82,0,NA,NA,0.17
82,1,NA,NA,0.14
82,2,NA,NA,0.12
82,3,NA,NA,0.12
82,4,NA,NA,0.11
83,0,NA,NA,0.17
83,1,NA,NA,0.14
83,2,NA,NA,0.12
83,3,NA,NA,0.12
83,4,NA,NA,0.11
84,0,NA,NA,0.17
84,1,NA,NA,0.14
84,2,NA,NA,0.12
84,3,NA,NA,0.12
84,4,NA,NA,0.11
85,0,NA,NA,0.17
85,1,NA,NA,0.14
85,2,NA,NA,0.12
85,3,NA,NA,0.12
85,4,NA,NA,0.11
86,0,NA,NA,0.17
86,1,NA,NA,0.14
86,2,NA,NA,0.12
86,3,NA,NA,0.12
86,4,NA,NA,0.11
87,0,NA,NA,0.17
87,1,NA,NA,0.14
87,2,NA,NA,0.12
87,3,NA,NA,0.12
87,4,NA,NA,0.11
88,0,NA,NA,0.17
88,1,NA,NA,0.14
88,2,NA,NA,0.12
88,3,NA,NA,0.12
88,4,NA,NA,0.11
89,0,NA,NA,0.17
89,1,NA,NA,0.14
89,2,NA,NA,0.12
89,3,NA,NA,0.12
89,4,NA,NA,0.11
90,0,NA,NA,0.17
90,1,NA,NA,0.14
90,2,NA,NA,0.12
90,3,NA,NA,0.12
90,4,NA,NA,0.11
91,0,NA,NA,0.17
91,1,NA,NA,0.14
91,2,NA,NA,0.12
91,3,NA,NA,0.12
91,4,NA,NA,0.11
92,0,NA,NA,0.17
92,1,NA,NA,0.14
92,2,NA,NA,0.12
92,3,NA,NA,0.12
92,4,NA,NA,0.11
93,0,NA,NA,0.17
93,1,NA,NA,0.14
93,2,NA,NA,0.12
93,3,NA,NA,0.12
93,4,NA,NA,0.11
94,0,NA,NA,0.17
94,1,NA,NA,0.14
94,2,NA,NA,0.12
94,3,NA,NA,0.12
94,4,NA,NA,0.11
95,0,NA,NA,0.17
95,1,NA,NA,0.14
95,2,NA,NA,0.12
95,3,NA,NA,0.12
95,4,NA,NA,0.11
96,0,NA,NA,0.17
96,1,NA,NA,0.14
96,2,NA,NA,0.12
96,3,NA,NA,0.12
96,4,NA,NA,0.11
97,0,NA,NA,0.17
97,1,NA,NA,0.14
97,2,NA,NA,0.12
97,3,NA,NA,0.12
97,4,NA,NA,0.11
98,0,NA,NA,0.17
98,1,NA,NA,0.14
98,2,NA,NA,0.12
98,3,NA,NA,0.12
98,4,NA,NA,0.11
99,0,NA,NA,0.17
99,1,NA,NA,0.14
99,2,NA,NA,0.12
99,3,NA,NA,0.12
99,4,NA,NA,0.11
100,0,NA,NA,0.17
100,1,NA,NA,0.14
100,2,NA,NA,0.12
100,3,NA,NA,0.12
100,4,NA,NA,0.11
